name,n,m,d,c,t,s,x
../network-corpus/networks/actor_movies.txt.gz,511463,1470404,14,217,1036.9,d,x
../network-corpus/networks/advogato.txt.gz,5155,39285,25,216,51.0,d,x
../network-corpus/networks/airlines.txt.gz,235,1297,13,43,8.0,d,x
../network-corpus/networks/american_revolution.txt.gz,141,160,3,10,0.4,d,x
../network-corpus/networks/as20000102.txt.gz,6474,12572,12,43,26.7,d,x
../network-corpus/networks/as-22july06.txt.gz,22963,48436,25,218,85.0,d,x
../network-corpus/networks/AS-oregon-1.txt.gz,11174,23409,17,75,42.8,d,x
../network-corpus/networks/AS-oregon-2.txt.gz,11461,32730,31,118,54.6,d,x
../network-corpus/networks/autobahn.txt.gz,374,478,2,3,1.0,d,x
../network-corpus/networks/bahamas.txt.gz,219856,246291,6,58,145.9,d,x
../network-corpus/networks/bergen.txt.gz,53,272,9,13,0.9,d,x
../network-corpus/networks/BioGrid-Affinity-Capture-Luminescence.txt.gz,1840,2312,6,38,5.5,d,x
../network-corpus/networks/BioGrid-Affinity-Capture-Ms.txt.gz,40495,321887,58,843,580.6,d,x
../network-corpus/networks/BioGrid-Affinity-Capture-Rna.txt.gz,13765,42815,54,1630,230.0,d,x
../network-corpus/networks/BioGrid-Affinity-Capture-Western.txt.gz,21028,64046,17,93,80.8,d,x
../network-corpus/networks/BioGrid-All.txt.gz,75550,1316843,164,1792,1738.1,d,x
../network-corpus/networks/BioGrid-Arabidopsis-Thaliana-Columbia.txt.gz,10417,47916,26,385,37.0,d,x
../network-corpus/networks/BioGrid-Biochemical-Activity.txt.gz,8620,17746,11,182,33.1,d,x
../network-corpus/networks/BioGrid-Bos-Taurus.txt.gz,454,424,3,7,0.9,d,x
../network-corpus/networks/BioGrid-Caenorhabditis-Elegans.txt.gz,6394,23646,64,82,42.4,d,x
../network-corpus/networks/BioGrid-Candida-Albicans-Sc5314.txt.gz,1121,1609,9,64,5.0,d,x
../network-corpus/networks/BioGrid-Canis-Familiaris.txt.gz,143,125,2,3,0.4,d,x
../network-corpus/networks/BioGrid-Chemicals.txt.gz,33266,28093,1,2,18.7,d,x
../network-corpus/networks/BioGrid-Co-Crystal-Structure.txt.gz,2291,2021,5,6,6.6,d,x
../network-corpus/networks/BioGrid-Co-Fractionation.txt.gz,11017,56354,83,84,68.6,d,x
../network-corpus/networks/BioGrid-Co-Localization.txt.gz,3543,4452,6,25,13.7,d,x
../network-corpus/networks/BioGrid-Co-Purification.txt.gz,4326,5970,12,71,19.4,d,x
../network-corpus/networks/BioGrid-Cricetulus-Griseus.txt.gz,69,57,1,2,0.3,d,x
../network-corpus/networks/BioGrid-Danio-Rerio.txt.gz,261,266,3,4,0.6,d,x
../network-corpus/networks/BioGrid-Dictyostelium-Discoideum-Ax4.txt.gz,27,20,1,2,0.2,d,x
../network-corpus/networks/BioGrid-Dosage-Growth-Defect.txt.gz,1447,2193,5,70,7.0,d,x
../network-corpus/networks/BioGrid-Dosage-Lethality.txt.gz,1776,2289,4,33,6.9,d,x
../network-corpus/networks/BioGrid-Dosage-Rescue.txt.gz,3380,6444,7,35,15.4,d,x
../network-corpus/networks/BioGrid-Drosophila-Melanogaster.txt.gz,9330,60556,83,115,73.8,d,x
../network-corpus/networks/BioGrid-Emericella-Nidulans-Fgsc-A4.txt.gz,64,62,2,3,0.3,d,x
../network-corpus/networks/BioGrid-Escherichia-Coli-K12-Mg1655.txt.gz,1273,1889,5,13,7.1,d,x
../network-corpus/networks/BioGrid-Escherichia-Coli-K12-W3110.txt.gz,4063,181620,156,442,3634.4,d,x
../network-corpus/networks/BioGrid-Far-Western.txt.gz,1199,1089,3,11,4.2,d,x
../network-corpus/networks/BioGrid-Fret.txt.gz,1700,2395,19,38,17.4,d,x
../network-corpus/networks/BioGrid-Gallus-Gallus.txt.gz,413,436,4,22,1.0,d,x
../network-corpus/networks/BioGrid-Glycine-Max.txt.gz,44,39,2,3,0.2,d,x
../network-corpus/networks/BioGrid-Hepatitus-C-Virus.txt.gz,136,134,1,2,0.4,d,x
../network-corpus/networks/BioGrid-Homo-Sapiens.txt.gz,24093,369767,71,802,1667.5,d,x
../network-corpus/networks/BioGrid-Human-Herpesvirus-1.txt.gz,178,208,3,11,0.5,d,x
../network-corpus/networks/BioGrid-Human-Herpesvirus-4.txt.gz,323,326,2,6,0.7,d,x
../network-corpus/networks/BioGrid-Human-Herpesvirus-5.txt.gz,121,107,1,2,0.4,d,x
../network-corpus/networks/BioGrid-Human-Herpesvirus-8.txt.gz,716,691,3,6,1.4,d,x
../network-corpus/networks/BioGrid-Human-Immunodeficiency-Virus-1.txt.gz,1138,1319,3,43,5.0,d,x
../network-corpus/networks/BioGrid-Human-Immunodeficiency-Virus-2.txt.gz,19,15,1,2,0.2,d,x
../network-corpus/networks/BioGrid-Human-Papillomavirus-16.txt.gz,173,186,2,18,0.5,d,x
../network-corpus/networks/bitcoin-otc-negative.txt.gz,1606,3259,16,39,15.0,d,x
../network-corpus/networks/bitcoin-otc-positive.txt.gz,5573,18591,20,92,43.9,d,x
../network-corpus/networks/bn-fly-drosophila_medulla_1.txt.gz,1781,8911,18,42,39.8,d,x
../network-corpus/networks/bn-mouse_retina_1.txt.gz,1076,90811,121,403,869.1,d,x
../network-corpus/networks/boards_gender_1m.txt.gz,4134,19993,25,20,34.3,c,x
../network-corpus/networks/boards_gender_2m.txt.gz,4220,5598,4,21,12.2,d,x
../network-corpus/networks/ca-CondMat.txt.gz,23133,93439,25,27,81.6,d,x
../network-corpus/networks/ca-GrQc.txt.gz,5242,14484,43,43,39.2,d,x
../network-corpus/networks/ca-HepPh.txt.gz,12006,118489,238,90,436.8,c,x
